序号,特殊,年龄小,年龄大,文本,获得特殊能力,移除特殊能力,力,智,谋,精,辩,结束图片,死亡音效,结束文本,成就,成就系列号
0,3,0,0,王之嫡长子，不出意外以第十四位国君继位,,,0,0,0,0,0,,,,,
1,2,0,2,先帝战死，大臣矫诏立刚出生的我为太子。意欲将我当做傀儡，不到二年。大臣杀太子，自立。,,,0,0,0,0,0,dead1,dead1,,,
2,2,0,2,出生不久，因母辈作乱，被废为庶人，流落边疆,,,0,0,0,-2,0,,dead2,流放,活,1
3,2,0,2,出生不久，原本是太子，母亲听闻王要杀之立幼子，遂逃至远方，隐姓终其一生未归。,,,0,0,-2,0,0,,dead3,隐居,活,2
4,0,2,8,安度童年，平安无事,,,0,0,0,0,0,,,,,
5,0,2,8,平安无事,,,0,0,0,0,0,,,,,
6,2,5,10,据说父王嘱意幼弟继承王位，我赶忙与其交好，表示绝对支持父王的决定，幼弟承诺他即位后，就让我从此衣食无忧，所有兄弟共享荣华。,,,0,1,0,-2,0,,dead4,让贤,,
7,3,3,10,王逝，继承王位。,,,0,0,0,0,0,,,,,
8,2,5,10,兄被叛军所杀，平叛后被拥为太子。然而下一代长孙的党羽，为叛军的亲属。为复仇再次叛乱，扶正长孙。被杀害时，一名一名伶人拣丢弃的乐器放在尸体上，点火焚尸。,,,0,0,0,0,0,dead1,dead5,,骨肉相残,1
9,0,3,10,安度少年，平安无事,,,0,0,0,0,0,,,,活,3
10,3,8,20,童年一起长大的妹妹，将要通婚去外国。不舍，向其告白后，暗通款曲。,,,0,0,-1,0,3,,,,,
11,2,10,20,王突然驾崩，大臣等人矫诏谋杀我，改立次子为王。我为人仁孝说到：“父亲要赐死儿子，有何好请示？”，旋即伏剑自刎于军中。,,,1,0,0,0,-3,dead2,dead6,,骨肉相残,2
12,2,10,20,王逝。我以太子身份继位，即位后即试图铲除外戚等势力，但反被杀害，取代王位。,,,0,0,0,0,0,dead3,dead7,,,
13,3,8,20,王逝。我以太子身份继位，必须享受一番。沉醉于酒色，先父的四位皇后年时尚亲，与其乱伦。辅政大臣的知后劝阻，杀之。将其位置交给 武将亲戚。没想亲戚甩兵入宫，尽数罪状后将我杀害,,,0,0,0,0,0,,,,,
14,2,10,20,王不善朝政，亲二弟率军从王宫北路杀入，将王的几个儿子，全部杀害，我也死在乱箭中。佣兵宫中，王被迫禅让王位给二弟。,,,-1,-1,0,0,0,dead4,dead8,,,
15,0,8,20,安度青年，平安无事,,,0,0,0,0,0,,,,,
16,2,15,20,幼弟即位，马上赐死了大哥。我吓得带着全家人逃跑，但半路上妻子说：“你这样一走了之太自私了，会害得所有亲戚被株连的。“我想了一天，决定写信给幼弟说：”父皇就这样走了，我也不想活着，但求与父皇陪葬！幼弟很高兴，他赐我十万钱，又免我后裔一死。我来到骊山，双手双脚被捆绑起来。一位刑徒把我踢进坑里，泥土一点一点地填满了我的全身。,,,-1,0,0,0,0,dead1,dead1,,骨肉相残,3
17,3,12,20,即位之初受制于掌权大臣而难以专政，一年后将主政大臣诛杀，接着又将图谋废立的三名顾命大臣杀害，肢解王族叔祖父，保住王位。,,,2,0,0,0,0,,,,,
18,3,12,20,收到线报臣下数党，有谋反之心，杀之。,,,0,0,1,1,0,,,,,
