序号,特殊,年龄小,年龄大,文本,获得特殊能力,移除特殊能力,力,智,谋,精,辩,结束图片,死亡音效,结束文本,成就,成就系列号
0,3,0,0,"“哇哇哇一 ""你出生在一个贵族家庭，虽然衣食无忧， 不过母亲是小妾。",,,1,2,1,1,1,,,,,
1,3,0,2,在城里出生。,,,0,0,0,2,0,,,,,
2,3,0,2,被神秘师父收养,,,0,0,1,0,0,,,,,
3,3,1,5,我看到哥哥穿着漂亮、柔顺的衣服，有一天偷偷拿来穿。结果被哥哥发现了，他把我揍了一顿，说这衣服只有哥这样尊贵的嫡长子才有资格穿。,,,1,0,0,0,-1,,,,,
4,3,3,10,被神秘师父收养。他肤色黝黑却一脸帅气，熟悉江湖神秘剑法。有时候会莫名其妙说什么“是兄弟就来砍我”之类的话。我问这是什么意思，他说：“哦哦哦，没事，我穿越时撞到头了。”这下我更不懂了。,,,1,1,0,1,0,,,,寻秦记,1
5,3,3,10,父母送我去拜师学文。,,,1,1,1,1,1,,,,,
6,3,3,10,父母给你请了一个家庭教师，教我和兄弟们认字,,,0,1,1,0,1,,,,,
7,0,3,10,安度幼年，平安无事,,,-1,0,0,1,-1,,,,,
8,3,10,18,老师今天有点伤心，你问老师什么回事。老师告诉我，他刚听说自己的偶像吴起一年前去世了,,,-1,-1,-1,-1,-1,,,,,
9,3,3,15,出身为王室远亲，常出入王城之中游荡,,,0,0,1,0,1,,,,,
10,3,10,14,师傅见我长大了，便对我说：“我儿！其实我的名字叫项少龙，我今天给你取义名为项，希望你成就一番事业！”,,,1,-1,1,-2,2,,,,寻秦记,2
11,3,10,14,年十二能诗文,,,-1,1,1,0,1,,,,,
12,3,10,14,我从老师那儿听回来许多吴起的故事，开始对法律和刑罚感兴趣,,,0,0,1,0,1,,,,封爵之路,1
13,3,10,14,"我第一次在街上看见饥民要饭，十分好奇，开始思考这国家为何会出现饥民。当然,那个饥民像往常一样很快被左右斥退了",,,0,1,0,0,0,,,,,
14,3,10,14,学剑，钻研兵书,,,2,0,0,1,0,,,,,
15,3,10,14,我衣食无忧，小妾成群，但钱还是花不完。于是我招揽门客，寻找乱世的解决之道,,,1,0,0,-1,0,,,,,
16,3,10,18,"有一位年纪与我相仿的门生，说话比那帮无聊的儒生有意思多了， 决定拜他为师。{换行}{引文}《汉书卷三+艺文志》:伊子》二十篇。名悠鲁人，秦相商君师之。熟死,使逃入蜀。{/引文}",,,0,0,1,0,1,,,,,
17,3,10,18,因身体不适未能被司马，选为门人,,,-1,0,0,0,-1,,,,,
18,3,10,18,用功读书，“三年不窥园”,,,0,1,0,0,0,,,,,
19,3,10,18,"街上的饥民越来越多,我讨厌这些懒得干农活出来要饭的人，他们太需要教化了。",,,-1,-1,-1,-1,-1,,,,封爵之路,2
20,3,10,18,师傅跟着秦军南征北战，据说父亲的好友’白‘一次战后坑杀赵军。说起这件事时，师傅总是心生不忍。但他说为了不改变未来的历史，必须让白起这么干。这又让我听不懂了，父亲到底是什么人？,,,0,1,0,-1,-1,,,,寻秦记,3
21,3,10,18,师傅开始教我学习墨子剑法,,,1,0,0,-1,0,,,,寻秦记,4
22,0,3,10,安度少年，平安无事,,,0,1,-1,1,0,,,,,
23,3,16,25,"师傅有一次和我吹嘘，说他的小妾长得跟港姐一样漂亮。我问师傅：“什么是港姐？”{换行}
师傅：“啊，我又说漏嘴了……等父亲帮秦王完成统一大业，我就带你巡游南方，漫游香港。”{换行}
我问：“什么是香港？”{换行}
师傅：“这是南方的一个……神秘又很繁荣的小岛。”{换行}
我：“就是跟蓬莱差不多喽。”{换行}
师傅点点头。{换行}
",,,0,0,0,-1,1,,,,寻秦记,5
24,3,16,25,"我决定出道。由于我崇拜吴起，所以我找到W国国相,在他的府中任职",,,0,1,0,0,0,,,,,
25,3,16,25,国相帮助主公建功立业，我也深受国相的赏识。,,,0,0,0,0,0,,,,,
26,3,16,25,"国相与Q国交战时失败,被俘虏。回国后身体天不如一天，他对王说:“我死后你可以任用那个年轻人，如果不用的话，你一定要杀掉他。“王觉得他是老年痴呆，没有听取。{换行}{引文}《史记商君列传》:王且去，座屏人言日:“王即不听用熟，必杀之,无令出境{/引文}",,,-1,0,0,0,0,,,,封爵之路,3
27,3,16,25,为顾全大局，娶了敌国贵族的后人,,,-1,0,0,0,0,,,,,
28,3,16,25,在学宫研习到数年。被任命为祭酒，负责主持典礼,,,0,0,0,1,0,,,,,
29,3,16,25,四处拜师游学，见识广博，以辩才出众,,,0,0,0,0,0,,,,,
30,3,16,25,不久，师傅帮王赢得了战争，他立即隐姓埋名，讹称自己在灭Q的战争中战死了。并兑现承诺，陪我漫游南方。不过，那个名叫”香港“的地方现在还是一片荒芜，师傅却让我离开，说：”我要回到现代了，羽儿，你一定要牢记我的话，一旦天下大乱，你要出手平定天下。再见！“我还没反应过来，师傅就消失了,,,1,1,-2,0,1,,,,寻秦记,6
31,2,16,25,迷恋黄老之学，隐于深山,,,-1,0,0,-1,0,,dead1,解甲归田,活着,1
32,0,22,30,安度少年，平安无事,,,1,0,1,0,-1,,,,,
33,3,22,30,"我听说Q国国君广纳贤才,于是投递了简历。我见到了Q公，开始以为他想保境安民，没想到他也喜欢穷兵黩武，于是我和他昼夜交谈，毫无倦意。",,,-1,-2,-1,-1,-1,,,,封爵之路,4
34,3,22,30,初到庙堂，我准备推行变法，虽然许多人反对变法，但有Q公一个人点头就够了,,,1,1,1,1,1,,,,封爵之路,5
35,3,22,30,Q国国君接纳你的方案，推行新法,,,0,1,1,1,1,,,,,
36,3,22,30,"新法推行了。昔日瞧不起你的贵族，如今都对我投来畏惧的目光。街上再也没有游手好闲的人，他们必须到田里耕种。将士奋勇杀敌，因为他们想要更多的土地,也害怕被指责贪生怕死，而被割去鼻子。",,,1,0,0,0,0,,,,封爵之路,6
37,3,22,30,我带兵出战，攻入昔日效力过的W国,,,1,1,-1,-1,-1,,,,,
38,3,22,30,南方大国领兵来袭，被灭国，逃往北方，担任上卿。,,,1,1,1,1,1,,,,,
39,2,22,30,做为人质团去到远方盟国，终一生未离开,,,-1,-1,0,0,0,,dead1,解甲归田,活着,2
40,3,22,30,门客献妹妹，纳为妾。,,,0,0,0,-1,0,,,,,
41,3,22,30,本欲求官于 王，因家贫无资可通门路，不得不改为 大夫门下为宾客。大夫出使敌国时被怀疑 通敌，归国后被王几乎鞭笞致死，并下令扔进茅厕侮辱，侥幸逃生后，易名更张，我也随他逃亡敌国。,,,-1,-2,-1,-1,-1,,,,,
42,3,25,35,著书议论时事。王让学者讨论，以为该书讥讽朝政。被判死罪，后来赦免。,,,-1,0,0,0,0,,,,,
43,3,25,35,赐职务刀笔吏,,,0,1,-1,2,0,,,,,
44,3,25,35,赐职务令史,,,0,0,0,0,-1,,,,,
45,3,25,35,赐职务仓吏,,,1,-1,0,-1,0,,,,,
46,0,25,35,多次升降官职,,,0,1,0,-1,0,,,,,
47,0,31,50,安度少年，平安无事,,,0,0,-1,0,-1,,,,,
48,3,31,50,我带兵出发攻击Q国，Q国经历大战疲惫不堪，他们听说师傅竟然没死，吓得魂飞魄散。我使出父亲教的剑术，大破秦军，并坑杀了他们。,,,1,1,1,1,-1,,,,寻秦记,7
49,3,31,50,拜为将伐敌，会战中大破之，取数城，拜为上卿，以勇气闻于诸侯。,,,1,0,0,0,0,,,,,
50,3,31,50,王突然去世，引发了继承者之争，国外世子回国继位，新王派人取代我，兵权被夺，愤怒而流亡敌国，但因不受信任而无所作为。,,,0,0,0,0,0,,,,,
51,3,31,50,王急于向敌国求和，派我出使帝国，一番讨价还价，成功说法敌国，结成同盟，共同对方他国,,,0,0,0,0,0,,,,,
52,0,31,50,受权臣排斥而仕途不畅,,,0,0,-1,0,0,,,,,
53,3,31,50,我再次变法，焚烧诸子百家书籍，天下只有你的律法，再也没有境外敌对思想。,,,-1,0,0,1,0,,,,,
54,0,31,50,我的的主公成为了霸主。,,,0,0,0,0,0,,,,,
55,3,31,50,太子犯法了，我割掉太子的老师公子的鼻子作为惩罚，天下人都觉得我做事公正。可是这一天后，太子总是有点不对劲,,,2,0,0,0,1,,,,,
56,3,31,50,"我来到国君的病床，他说:“这个天下是你的天下，你不如接过本公的霸业吧!“你吓得浑身发抖，连忙磕头说:“不敢!不敢! """,,,3,1,0,0,0,,,,封爵之路,7
57,3,40,60,新君登基了，有一天你偶然听见他说:“太师， 寡人会为你复仇，车裂那个老不死的家伙!你吓得马上收拾细软逃跑。“逃跑途中，你打算投宿旅馆，对方却要求我出示胜负文书， 因为这是变法的规定。{换行}{引文}《史记商君列传》:商君喟然叹曰:“蹉乎，为法之敞一至此哉!{/引文},,,0,-1,0,0,0,,,,封爵之路,8
58,0,40,60, 回到封地作最后抵抗，与我对垒的是昔日指挥过的士兵，他们拿着坚盾向你走来，他们无不渴望你的头颅,,,0,0,0,0,-1,,,,封爵之路,9
59,2,40,60,解甲归田，长期蛰伏老家农村而终,,,0,0,0,-1,-1,,dead2,解甲归田,活着,3
60,2,30,60,"我策马冲锋，撞在长矛上，坠于马下。几支矛枪贯穿了我的身体。城里今天聚集了许多来观看处刑的人。尸体,手、脚、头都被绑上绳子，伤口上还有几只准备产卵的苍蝇。只听""驾”的一声， 苍蝇吓得飞了起来，而尸体已身首异处。",,,1,0,0,0,0,dead1,dead3,,封爵之路,10
61,2,40,60,晚年时，王师遇困，曾想重用我，派使者请我出山，为显示自己大有可为，当着使者面吃下一斗米、十斤肉，并披甲跨马到处奔跑。但是使者已被政敌收买，使者回国后对王谎称我吃一顿饭的时间内，上了三次厕所（“一饭三遗矢”）。王遂以为老而无用，便不复用。之后敌国暗中派人劝说我，遂前往敌国为将，但并无功绩，不得志，死于敌国王城。,,,0,0,0,-1,-1,dead2,dead4,,,
62,2,40,60,别国士族投靠成为门客，献其貌美的妹妹，我纳为妾。后因王无子嗣，门客建议将已有身孕的妹妹先给 王。我同意了，后来王果然早逝，门客妹妹诞一子继承王位。门客怕事情泄露，乘我从外地回城奔丧途中，在棘门伏击了我,,,1,0,-1,0,-1,dead3,dead5,,,
